yr,inbtou_volume,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,231120,86099000,0,0,0
2011,208000,91593500,0,0,0
2012,199840,94054000,0,0,0
2013,200120,92252100,0,0,0
2014,204930,92292800,0,0,0
2015,206660,95648700,0,0,0
2016,223160,100025800,0,0,0
2017,303040,95008599.99999999,0,0,0
2018,356070,104280800,0,0,0
2019,404100,117778400,0,0,0
2020,154830,43715500,121,0,0
2021,56760,36274800,5729,81,0.014138593122709025
2022,NA,NA,3688,38,0.010303687635574838
