yr,inbtou_volume,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,9580,5875600,0,0,0
2011,10470,5150400,0,0,0
2012,12130,6974500,0,0,0
2013,10460,6741400,0,0,0
2014,12330,8162200,0,0,0
2015,15090,8413800,0,0,0
2016,15360,8428600,0,0,0
2017,19520,9327700,0,0,0
2018,18340,9838300,0,0,0
2019,20980,9919700,0,0,0
2020,8300,5102300,13,1,0.07692307692307693
2021,1600,1594700,33,0,0
