yr,inbtou_volume,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,597940,93543400,0,0,0
2011,423420,105801500,0,0,0
2012,354190,76049800,0,0,0
2013,319360,102490000,0,0,0
2014,377560,127080200,0,0,0
2015,366090,124678900,0,0,0
2016,364620,102197700,0,0,0
2017,238530,75280200,0,0,0
2018,206090,81610900,0,0,0
2019,334870,121522800,0,0,0
2020,145880,21234300,88,0,0
2021,66160,16194900,6726,47,0.006987808504311626
