yr,inbtou_volume,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,621280,89540000,0,0,0
2011,715250,107670000,0,0,0
2012,635430,109150000,0,0,0
2013,709940,116550000,0,0,0
2014,823280,125430000,0,0,0
2015,1033819.9999999999,133570000,0,0,0
2016,1054900,138750000,0,0,0
2017,1192970,159470000,0,0,0
2018,1297330,195730000,0,0,0
2019,1181850,188700000,0,0,0
2020,300690,45510000,32,0,0
2021,122610,28490000,2967,28,0.009437141894169195
